,by,descendants,id,kids,score,time,title,type,url,text
0,bpierre,86,37078719,"[37079893, 37085744, 37082377, 37081876, 37079566, 37080934, 37081917, 37080332, 37084218, 37079766, 37081717, 37084552, 37084058, 37082153, 37081904, 37079481, 37081517, 37079745, 37081089]",974,1691686934,Vim Boss,story,https://neovim.io/news/2023/08,
1,pabs3,28,37084575,"[37085317, 37085733, 37085367, 37085246, 37085414, 37085827, 37085516, 37085013, 37085273, 37084917, 37084943]",92,1691722366,Git-appraise – Distributed Code Review for Git,story,https://github.com/google/git-appraise,
2,wslh,11,37052425,"[37085227, 37085434, 37085222, 37085210]",52,1691515078,Reverse Engineering the Apple Multipeer Connectivity Framework (2022),story,https://www.evilsocket.net/2022/10/20/Reverse-Engineering-the-Apple-MultiPeer-Connectivity-Framework/,
3,rc00,72,37084677,"[37085233, 37085077, 37085724, 37085709, 37085625, 37085658, 37085614, 37085781, 37085071, 37085456, 37085350, 37085199, 37085112, 37084796, 37085280, 37084776, 37084822, 37085218]",259,1691723370,Firefox desktop extensions coming soon for the upcoming Android release,story,https://blog.mozilla.org/addons/2023/08/10/prepare-your-firefox-desktop-extension-for-the-upcoming-android-release/,
4,jstrieb,6,37083309,"[37083678, 37085076, 37085443, 37085287, 37083318]",75,1691711763,"Show HN: Tetris, but the blocks are ARM instructions that execute in the browser",story,https://ofrak.com/tetris/,"OFRAK Tetris is a project I started at work about two weeks ago. It&#x27;s a web-based game that works on desktop and mobile. I made it for my company to bring to events like DEF CON, and to promote our binary analysis and patching framework called OFRAK.<p>In the game, 32-bit, little-endian ARM assembly instructions fall, and you can modify the operands before executing them on a CPU emulator. There are two segments mapped – one for instructions, and one for data (though both have read, write, and execute permissions). Your score is a four byte signed integer stored at the virtual address pointed to by the R12 register, and the goal is to use the instructions that fall to make the score value in memory as high as possible. When it&#x27;s game over, you can download your game as an ELF to relive the glory in GDB on your favorite ARM device.<p>The CPU emulator is a version of Unicorn (<a href=""https:&#x2F;&#x2F;www.unicorn-engine.org&#x2F;"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;www.unicorn-engine.org&#x2F;</a>) that has been cross-compiled to WebAssembly (<a href=""https:&#x2F;&#x2F;alexaltea.github.io&#x2F;unicorn.js&#x2F;"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;alexaltea.github.io&#x2F;unicorn.js&#x2F;</a>), so everything on the page runs in the browser without the need for any complicated infrastructure on the back end.<p>Since I&#x27;ve only been working on this for a short period of time leading up to its debut at DEF CON, there are still many more features I&#x27;d eventually like to implement. These include adding support for other ISAs besides ARM, adding an instruction reference manual, and lots of little cleanups, bug fixes, and adjustments.<p>My highest score is 509,644,979, but my average is about 131,378.<p>I look forward to feedback, bug reports, feature requests, and strategy discussions!"
5,monstermunch,228,37081789,"[37085701, 37082835, 37083061, 37085450, 37084417, 37083563, 37085578, 37084876, 37083089, 37084931, 37084277, 37084359, 37085471, 37082366, 37083517, 37082886, 37082739, 37082277, 37084640, 37082490, 37082256, 37085050, 37085003, 37082287, 37084623, 37082818, 37082557, 37084693, 37082982, 37082312, 37082672, 37083989, 37082640, 37084924, 37084001, 37082390, 37084006, 37082853, 37082399, 37082503, 37083962, 37082451, 37082639, 37083299, 37082910]",301,1691701520,My Overkill Home Network,story,https://blog.networkprofile.org/my-home-network-complete-details-2023/,
6,rc00,149,37079534,"[37080227, 37080636, 37080298, 37080206, 37079813, 37079778, 37079938, 37083361, 37080024, 37081389, 37079890, 37080042, 37080905, 37082487, 37084285, 37081117, 37082055, 37082717, 37083124, 37081491, 37082284, 37080363, 37080063, 37082497, 37081770, 37080223, 37082933, 37079870, 37080370, 37080306, 37080092, 37080256, 37080191, 37083546]",354,1691690347,eSignature Beta for Google Docs and Google Drive,story,https://workspaceupdates.googleblog.com/2023/08/esignature-google-docs-google-drive.html,
7,steveklabnik,158,37082771,"[37084213, 37085834, 37083090, 37084010, 37083589, 37083137, 37085787, 37083329, 37084266, 37083468, 37083328, 37085558, 37084088, 37083120, 37084037, 37083524, 37083625, 37084372, 37085209, 37084789, 37084295, 37083641, 37084557, 37084573, 37084079, 37085051, 37083614, 37084521, 37083559, 37083530, 37083472, 37083927, 37084007, 37084390, 37083438, 37085016, 37084903, 37083687, 37084208]",383,1691708230,Source code for Quake 2 rerelease,story,https://github.com/id-Software/quake2-rerelease-dll,
8,whycome,7,37065391,"[37085650, 37085580, 37085757, 37085648, 37085398, 37085489]",26,1691599726,Pentium floating-point division bug (1994),story,https://en.wikipedia.org/wiki/Pentium_FDIV_bug,
9,mikece,21,37082941,"[37083561, 37085738, 37083501, 37083761, 37084744, 37084324, 37084255, 37083112]",88,1691709248,SQLite Functions for Working with JSON,story,https://www.sqlite.org/json1.html,
